TITLE,LOCATION,RUNNINGCOUNT,SHORTDEF,DCC FREQUENCY GROUP,DCC SEMANTIC GROUP,,
ARBOR,468,468,tree,5,Animals/Plants,,
MOX,469,469,soon,5,Time,,
EO/3,470,470,"(adv.) there, to that place",5,Place,,
CIVIS,471,471,citizen,5,The City,,
OCCVPO/2,472,472,"seize, occupy; anticipate, do a thing first (+ infin.)",5,War and Peace,,
SPECTO,473,473,"look at, consider",5,Vision,,
TERGVM,474,474,"back, rear; ā tergō: from the rear",5,The Body,,
CRIMEN,475,475,"verdict, accusation",5,Justice,,
DONVM,476,476,"gift, present",5,Social Life,,
NOTVS/2,477,477,well-known,5,Personality Traits/Characteristics,,
SINVS,478,478,"fold of a garment; lap, bay, gulf",5,Earth and Water,,
FACIES,479,479,"form, appearance",5,Vision,,
RVMPO,480,480,"break, rupture",5,Violence,,
MEMBRVM,481,481,"limb, member of the body",5,The Body,,
VMQVAM,482,482,ever,5,Time,,
ASPICIO,483,483,"look to or at, behold",5,Vision,,
PRIVS,484,484,before,5,Time,,
TEMPLVM,485,485,consecrated ground, temple,5,Religion,
AMITTO,486,486,"let go, send away",5,Verbs of Compelling/Directing,,
POSCO,487,487,"demand, claim; inquire into",5,Speech/Oratory,,
PERDO,488,488,destroy,5,Violence,,
QVAMVIS/1,489,489,however you like, although,5,Conjunctions/Adverbs,
TENER,490,490,tender,5,Other Senses,,
CVRRVS,491,491,chariot,5,Athletics,,
PRECOR,492,492,"pray, invoke",5,Religion,,
ANIMA,493,493,"breath, spirit",5,Life and Being,,
CONTINGO/1,494,494,"touch, be contiguous to",5,Place,,
LIBERTAS,495,495,freedom,5,The City,,
SERVVS/1,496,496,slave,5,The Household,,
SOROR,497,497,sister,5,The Household,,
FLVCTVS,498,498,"flood, billow, surf",5,Earth and Water,,
QVIPPE/1,499,499,"(adv.) indeed, surely",5,Conjunctions/Adverbs,,
EXIGO,500,500,drive out, collect,5,Verbs of Compelling/Directing,
FEMINA,501,501,woman,6,People,,
NIMIVS,502,502,"too much, excessive",6,Personality Traits/Characteristics,,
FALLO,503,503,deceive,6,Deception,,
MIROR,504,504,"wonder at, marvel at (+ acc.)",6,Emotions,,
CLASSIS,505,505,"class, division, fleet",6,War and Peace,,
SEDEO,506,506,sit,6,The House,,
SINGVLVS,507,507,one each,6,Measurement,,
MVRVS,508,508,wall,6,The House,,
NOCEO,509,509,harm,6,Violence,,
QVONIAM,510,510,"since, seeing that",6,Conjunctions/Adverbs,,
FAX,511,511,torch,6,Air and Fire,,
INTELLIGO,512,512,understand,6,Education/Knowledge,,
IVNGO,513,513,join,6,Making/Doing,,
AFFERO,514,514,bring to,6,Verbs of Transport,,
COGITO,515,515,"think, reflect",6,Education/Knowledge,,
LIMEN,516,516,threshold,6,The House,,
PVBLICVS/2,517,517,"public, belonging to the state",6,The City,,
QVEROR,518,518,"complain of, lament",6,Emotions,,
EXEMPLVM,519,519,"example, sample, copy",6,Speech/Oratory,,
PREX,520,520,"prayers, entreaties",6,Religion,,
DVBITO,521,521,"hesitate, doubt",6,Education/Knowledge,,
ODIVM,522,522,hatred,6,Emotions,,
FVNDO/2,523,523,"pour, scatter",6,Earth and Water,,
FVNVS,524,524,funeral, death, dead body,6,Religion
NESCIO,525,525,"not know, be ignorant",6,Education/Knowledge,,
PRIOR,526,526,"earlier, preceding",6,Time,,
VSQVE,527,527,up to, continuously,6,Time,
DVBIVS,528,528,"doubtful; (as subst.) a doubt; sine dubiō, without a doubt, certainly",6,Deception,,
TENDO,529,529,"stretch, extend, direct (one’s steps or course)",6,Travel,,
PECVNIA,530,530,money,6,Business/Money,,
QVEMADMODVM/1,531,531,"in what manner, how",6,Pronouns/Interrogatives,,
SPARGO/2,532,532,scatter,6,Earth and Water,,
TRES,533,533,three,6,Measurement,,
TANGO,534,534,touch,6,Other Senses,,
RESPONDEO,535,535,answer,6,Speech/Oratory,,
TIMOR,536,536,fear,6,Emotions,,
PROPERO,537,537,"hasten, speed",6,Motion,,
SVBEO/1,538,538,go under, endure,6,Motion,
VALEO,539,539,"be strong, excel, be valid, prevail; valē: farewell!",6,Social Life,,
CONDO,540,540,"build, found; store up; hide, conceal",6,The City,,
NEFAS,541,541,"impiety, wickedness",6,Justice,,
QVONDAM,542,542,"formerly, once",6,Time,,
AVXILIVM,543,543,"support, assistance; (pl.) auxiliary forces",6,War and Peace,,
DESERO/2,544,544,"leave, desert, abandon",6,Motion,,
NVDVS,545,545,"naked, bare",6,The Body,,
AVCTOR,546,546,"originator, founder",6,Writing/Poetry,,
ANIMAL,547,547,"a living being, an animal",6,Animals/Plants,,
DECVS,548,548,"beauty, grace; ornament, glory, honor",6,Personality Traits/Characteristics,,
SALVS,549,549,"health, safety",6,Life and Being,,
PATEO,550,550,"lie open, extend; be evident or obvious",6,Geography,,
ROGO,551,551,ask,6,Speech/Oratory,,
VXOR,552,552,wife,6,The Household,,
ABEO/1,553,553,go away,6,Motion,,
REGO,554,554,"guide, rule",6,The City,,
ADEO/2,555,555,"(adv.) to such a degree, so",6,Conjunctions/Adverbs,,
AVFERO,556,556,take away,6,Verbs of Transport,,
QVANTVM/3,557,557,(adv.) how much? how greatly? how much! how greatly! as much as,6,Pronouns/Interrogatives,,
SENEX/1,558,558,"old man, elder; senior, older",6,People,,
FRONS/1,559,559,"forehead, brow; front",6,The Body,,
PROPTER/2,560,560,because of (+ acc.),6,Non–Directional Prepositions,,
REGIVS,561,561,"kingly, royal",6,Personality Traits/Characteristics,,
CVRRO,562,562,run,6,Athletics,,
PELLO,563,563,"strike, beat, push, drive",6,Violence,,
DIVES,564,564,"rich (poet. dīs, dītis)",6,Business/Money,,
IVDICO,565,565,"judge, decide",6,Justice,,
PECVS/1,566,566,"cattle, sheep",6,Animals/Plants,,
POTENS,567,567,"able, powerful",6,Personality Traits/Characteristics,,
SCRIBO,568,568,write,6,Writing/Poetry,,
PVLCHER,569,569,beautiful,6,Vision,,
SVRGO,570,570,rise,6,Earth and Water,,
CETERVM/2,571,571,"for the rest, in addition, however that may be",6,Pronouns/Interrogatives,,
CAREO,572,572,lack (+ abl.),6,Business/Money,,
EFFICIO,573,573,"bring about, complete; render (+ ut + subj.)",6,Making/Doing,,
OLIM,574,574,"formerly, at that time",6,Time,,
SERMO,575,575,"conversation, discourse",6,Speech/Oratory,,
EXERCEO/2,576,576,"train, exercise, carry on",6,Athletics,,
GRADVS,577,577,"step, pace; grade, rank",6,War and Peace,,
AGITO,578,578,drive,6,Verbs of Compelling/Directing,,
FORTE,579,579,by chance,6,Religion,,
HONESTVS,580,580,honorable,6,Personality Traits/Characteristics,,
MOROR/1,581,581,delay,6,Time,,
PRAESIDIVM,582,582,"garrison, protection",6,War and Peace,,
SONO/1,583,583,"sound, resound",6,Other Senses,,
PRAEBEO,584,584,"furnish, supply, render",6,Verbs of Transport,,
REGIO,585,585,"boundary, region",6,Geography,,
SENTENTIA,586,586,"opinion, judgment",6,Education/Knowledge,,
ACER/2,587,587,"sharp, piercing",6,Other Senses,,
SVPRA/2,588,588,"above, beyond (adv. and prep. +acc.)",6,Place,,
BREVIS,589,589,"short, shallow, brief",6,Measurement,,
CITVS,590,590,swift, citō swiftly,6,Time,
CORNV,591,591,horn,6,Animals/Plants,,
INGRATVS,592,592,"unpleasant, disagreeable",6,Personality Traits/Characteristics,,
MOENIA,593,593,"walls, fortifications",6,The City,,
VINCVLVM,594,594,"bond, fetter, tie",6,War and Peace,,
ADEO/1,595,595,go to,6,Motion,,
CETERVS,596,596,"the other, the others, the rest",6,Pronouns/Interrogatives,,
EXEO/1,597,597,go forth,6,Motion,,
MALO,598,598,prefer,6,Emotions,,
SPECIES,599,599,"aspect, appearance",6,Vision,,
VLTRA/2,600,600,"beyond, further (adv. and prep. + acc.)",6,Place,,
CERTE,601,601,"certainly, surely",7,Measurement,,
IMPERO,602,602,"command, control",7,War and Peace,,
MALE,603,603,(adv.) badly,7,Personality Traits/Characteristics,,
PROHIBEO,604,604,"restrain, keep away",7,Verbs of Compelling/Directing,,
CLAMOR,605,605,"outcry, shout",7,Speech/Oratory,,
DONO,606,606,present with a gift (+ acc. of person and abl. of thing),7,Social Life,,
OFFICIVM,607,607,"service, duty",7,The City,,
COMMITTO,608,608,"join, entrust to (+ dat.); perform, do",7,Social Life,,
CRESCO,609,609,"grow, increase",7,Animals/Plants,,
AEQVVS,610,610,equal,7,Justice,,
FACTVM,611,611,"deed, accomplishment",7,Making/Doing,,
CAEDO,612,612,"strike, kill, cut down",7,Violence,,
EXISTIMO,613,613,"think, believe",7,Education/Knowledge,,
ACCEDO/1,614,614,approach,7,Motion,,
CONTEMNO,615,615,"despise, scorn, disdain",7,Emotions,,
PVDOR,616,616,"sense of shame, modesty, propriety",7,Personality Traits/Characteristics,,
ANTIQVVS,617,617,"ancient, old-time, former",7,Lengths of Time,,
ARDEO,618,618,"blaze, glow; be eager",7,Air and Fire,,
IBI,619,619,there,7,Place,,
PROVINCIA,620,620,province, official duty,7,The City,
QVANDO/1,621,621,when?, since, sī quandō: if ever,7,Pronouns/Interrogatives
CVSTOS,622,622,guardian,7,The Household,,
SVPERSVM/1,623,623,"remain, survive; be superfluous (to)",7,Place,,
DESINO,624,624,"leave off, cease",7,Motion,,
FESSVS,625,625,"weary, tired",7,Life and Being,,
PRAEDA,626,626,"booty, prey",7,War and Peace,,
MEMORIA,627,627,"recollection, memory",7,Education/Knowledge,,
DIVIDO,628,628,"divide, separate",7,Making/Doing,,
PRETIVM,629,629,"price, worth, reward; pretium operae: a reward for trouble",7,Business/Money,,
PONTVS,630,630,"the open sea, the deep",7,Earth and Water,,
VARIVS,631,631,"changing, varied, various",7,Other Senses,,
VEHO,632,632,"carry; vehor vehī vectus sum: travel, ride",7,Travel,,
FALSVS,633,633,"deceptive, false",7,Deception,,
NIGER,634,634,black,7,Vision,,
OPPIDVM,635,635,town,7,The City,,
PONDVS,636,636,weight,7,Measurement,,
ARVVM,637,637,"ploughed land, field",7,Animals/Plants,,
ARX,638,638,"citadel, castle; summit",7,The City,,
SORS,639,639,"lot, fate, destiny; oracle",7,Religion,,
VINVM,640,640,"vine, wine",7,Animals/Plants,,
DIVERSVS,641,641,"different, diverse",7,Other Senses,,
ORIOR,642,642,"arise, begin",7,Time,,
ECCE,643,643,behold!,7,Vision,,
QVAMQVAM/2,644,644,"however, although",7,Conjunctions/Adverbs,,
CONFERO,645,645,"collect, bring to",7,Verbs of Transport,,
FACINVS,646,646,"deed, crime",7,Justice,,
RETINEO,647,647,"hold back, keep",7,Verbs of Compelling/Directing,,
SPERO,648,648,to hope,7,Emotions,,
PLEBS,649,649,the common people,7,The City,,
PVGNA,650,650,fist-fight, battle,7,Violence,
REPETO,651,651,"demand, exact; revisit; call to mind, recollect; repeat",7,Verbs of Compelling/Directing,,
CONSTITVO,652,652,"establish, put together",7,Making/Doing,,
DEFENDO,653,653,"defend, ward off",7,War and Peace,,
MARITVS/1,654,654,husband,7,The Household,,
CERNO,655,655,"discern, separate",7,Education/Knowledge,,
SVPERBVS/2,656,656,"overbearing, proud, haughty",7,Personality Traits/Characteristics,,
ADVERSVS/1,657,657,"facing, opposed; unfavorable",7,War and Peace,,
MORBVS,658,658,"sickness, disease",7,The Body,,
SANCTVS,659,659,"sacred, inviolable",7,Religion,,
COMMVNIS,660,660,"common, general",7,The City,,
DEDVCO,661,661,"launch, lead away",7,Travel,,
RIPA,662,662,bank of a river,7,Earth and Water,,
CONCEDO/1,663,663,"yield, withdraw",7,War and Peace,,
HORA,664,664,hour,7,Lengths of Time,,
VETO,665,665,forbid,7,Verbs of Compelling/Directing,,
COHORS,666,666,"cohort, band, troop",7,War and Peace,,
GIGNO,667,667,"beget, bear, bring forth",7,Life and Being,,
SVPERO,668,668,"overcome, surpass, defeat",7,War and Peace,,
MAESTVS,669,669,"sad, sorrowful; depressing",7,Emotions,,
MEMINI,670,670,"remember, recollect",7,Education/Knowledge,,
IMPLEO,671,671,"fill in, fill up",7,Earth and Water,,
MAGNITVDO,672,672,"greatness, size",7,Measurement,,
VACVVS,673,673,empty,7,Measurement,,
VAGVS,674,674,"wandering, shifting",7,Travel,,
VVLGVS,675,675,the common people,7,The City,,
DEFICIO,676,676,"fail, give out; revolt from",7,War and Peace,,
OCCVRRO,677,677,run to meet, come into one’s mind,7,Education/Knowledge,
STATVO,678,678,"set up, determine",7,Justice,,
IDEO,679,679,for this reason,7,Conjunctions/Adverbs,,
PRAEMIVM,680,680,"bounty, reward",7,Business/Money,,
PRAETEREA,681,681,"besides, moreover",7,Conjunctions/Adverbs,,
TERTIVS,682,682,third,7,Measurement,,
SVPPLICIVM,683,683,"punishment, penalty",7,Justice,,
VATES,684,684,"poet, bard",7,Writing/Poetry,,
ASTRVM,685,685,star, constellation,7,Air and Fire,
VNDIQVE,686,686,"from all sides, on all sides",7,Place,,
CANIS,687,687,dog,7,Animals/Plants,,
EDO/1,688,688,"put forth, state, explain",7,Speech/Oratory,,
FATEOR,689,689,"admit, confess; profess, declare; assent, say yes",7,Justice,,
AMICITIA,690,690,friendship,7,Social Life,,
AVREVS/2,691,691,golden, splendid,7,Business/Money,
CANDIDVS,692,692,"white, fair",7,Vision,,
INTERIM,693,693,meanwhile,7,Time,,
FRVSTRA,694,694,in vain,7,Conjunctions/Adverbs,,
LATEO,695,695,"lie hidden, be hidden",7,Deception,,
OS/2,696,696,bone,7,The Body,,
SECVRVS,697,697,"free from care, tranquil; careless",7,Personality Traits/Characteristics,,
CONVENIO,698,698,"assemble, meet; agree",7,Social Life,,
INTERFICIO,699,699,kill,7,Violence,,
APPELLO/1,700,700,"call, address, name",7,Social Life,,
DOLVS,701,701,"artifice, device, trick",8,Deception,,
PERMITTO,702,702,"yield, allow, permit",8,Verbs of Compelling/Directing,,
SPIRITVS,703,703,"breath, life, spirit",8,Life and Being,,
INTRA/2,704,704,within (+ acc.),8,Place,,
TERREO,705,705,"terrify, frighten",8,Emotions,,
FONS,706,706,"spring, fountain",8,Earth and Water,,
INVIDIA,707,707,"envy, jealousy, hatred",8,Emotions,,
PVGNO,708,708,fight,8,Violence,,
AVGEO,709,709,increase,8,Making/Doing,,
LITTERA,710,710,"letter, (pl.) literature",8,Writing/Poetry,,
MONEO,711,711,"warn, advise",8,Speech/Oratory,,
DIVITIAE,712,712,"riches, wealth",8,Business/Money,,
EXPERIOR,713,713,"try thoroughly, test, experience",8,Education/Knowledge,,
SVPERI,714,714,"those above, i.e. the gods",8,Religion,,
OTIVM,715,715,leisure,8,Social Life,,
VESTIGIVM,716,716,"footstep, footprint, track",8,Travel,,
SINO,717,717,"allow, let go",8,Verbs of Compelling/Directing,,
DECET,718,718,"it is right, proper, fitting (+ acc. + infin.)",8,Personality Traits/Characteristics,,
EFFVNDO/2,719,719,pour out,8,Earth and Water,,
PROMITTO,720,720,"send forth, offer",8,Verbs of Compelling/Directing,,
FINGO,721,721,shape, invent,8,Making/Doing,
RESPICIO,722,722,"look back, regard, consider",8,Vision,,
IMPERATOR,723,723,commander,8,War and Peace,,
VACO,724,724,"be empty, open, unoccupied",8,Measurement,,
COLOR,725,725,color,8,Vision,,
DISCEDO/1,726,726,"go away, depart",8,Travel,,
GAVDIVM,727,727,"delight, joy, pleasure",8,Emotions,,
CAECVS,728,728,"blind, unseeing; dark, obscure",8,Vision,,
LIBET,729,729,it is pleasing (+ dat. + infin.),8,Social Life,,
CENTVM,730,730,one hundred,8,Measurement,,
CONSTO,731,731,"agree; constat, it is established that (+ acc. and infin.)",8,Speech/Oratory,,
LINGVA,732,732,tongue, language,8,The Body,
MVLTITVDO,733,733,"multitude, number",8,Measurement,,
AETERNVS,734,734,"everlasting, eternal",8,Lengths of Time,,
CIRCA/2,735,735,around (adv. and prep. +acc.),8,Place,,
ORATIO,736,736,"speech, address",8,Speech/Oratory,,
POTESTAS,737,737,power,8,The City,,
TARDVS,738,738,"slow, sluggish, lingering",8,Time,,
FOR,739,739,"report, say",8,Speech/Oratory,,
HVMVS,740,740,ground, humī: on the ground,8,Earth and Water,
TESTIS/1,741,741,witness,8,Justice,,
INFERO,742,742,"bring upon, against; bellum īnferre: make war on",8,War and Peace,,
CVRO,743,743,"watch over, look after, care for (+ acc.)",8,Love,,
AES,744,744,"copper, bronze",8,Business/Money,,
CELER,745,745,swift,8,Time,,
PROCEDO/1,746,746,"go forth, advance",8,Motion,,
MENSA,747,747,table,8,The House,,
PIVS,748,748,"dutiful, devoted, just, pious",8,Personality Traits/Characteristics,,
IVDICIVM,749,749,"judgment, decision, trial",8,Justice,,
VICTORIA,750,750,victory,8,War and Peace,,
DAMNO,751,751,condemn,8,Justice,,
RARVS,752,752,"wide apart, loose, thin; rare, seldom",8,Measurement,,
TEMPESTAS,753,753,"period of time, season; bad weather, storm",8,Lengths of Time,,
IMAGO,754,754,"image, form, figure",8,Vision,,
ORO,755,755,pray,8,Religion,,
PRAETER/2,756,756,"by, along, past; besides, except (+ acc.)",8,Place,,
CONSVLO,757,757,"consult, plan (+ acc.); consider the interests of (+dat)",8,The City,,
ITERVM,758,758,again,8,Time,,
PORTA,759,759,gate,8,The City,,
INTERSVM/1,760,760,"to be between; take part in, attend (+dat.); interest, it is in the interest of (+ gen.)",8,Place,,
LIBIDO,761,761,"passion, lust",8,Love,,
SVSTINEO,762,762,"hold up, sustain",8,Social Life,,
ALIQVANDO,763,763,"at some time, at length",8,Time,,
MAIORES,764,764,ancestors,8,The Household,,
REPERIO,765,765,"find, find out",8,Education/Knowledge,,
INTRO/1,766,766,enter,8,Motion,,
PIETAS,767,767,"sense of duty, devotion, esp. between parents and children",8,The Household,,
BARBARVS/2,768,768,"foreigner, barbarian",8,War and Peace,,
CVLPA,769,769,"guilt, fault, blame",8,Justice,,
IVSTVS,770,770,"right, just, fair",8,Justice,,
DONEC,771,771,until,8,Time,,
FLVO,772,772,flow,8,Earth and Water,,
NECESSE,773,773,necessary,8,Business/Money,,
REOR,774,774,"think, imagine, suppose, deem",8,Education/Knowledge,,
TENEBRAE,775,775,"darkness, the shadows",8,Vision,,
SAECVLVM,776,776,"generation, age, century",8,Lengths of Time,,
DIMITTO,777,777,send away,8,Verbs of Compelling/Directing,,
LICET/3,778,778,even though,8,Justice,,
CINIS,779,779,"ashes, embers",8,Air and Fire,,
CONSISTO,780,780,"take position; consist in, be composed of",8,Speech/Oratory,,
RECENS/1,781,781,"fresh, new",8,Time,,
ALITER,782,782,"otherwise, differently",8,Conjunctions/Adverbs,,
LAEDO,783,783,"injure by striking, hurt",8,Violence,,
PROBO,784,784,"approve, prove; convince one (dat.) of a thing (acc.)",8,Verbs of Compelling/Directing,,
DOLEO,785,785,"feel pain or grief, grieve",8,Emotions,,
QVARE/1,786,786,how? why?,8,Pronouns/Interrogatives,,
ANTEQVAM,787,787,before,8,Time,,
RELIQVVS,788,788,"remaining, rest",8,Measurement,,
SEMEL,789,789,once,8,Time,,
ODI,790,790,hate,8,Emotions,,
SICVT/1,791,791,just as,8,Conjunctions/Adverbs,,
PECCO,792,792,"commit a wrong, injure",8,Justice,,
SENSVS,793,793,"feeling, emotion, sense",8,Emotions,,
EXSILIVM,794,794,"exile, banishment",8,Travel,,
COR,795,795,"heart; cordī est, it is pleasing to (+ dat.)",8,The Body,,
DENIQVE,796,796,finally,8,Time,,
SAPIENTIA,797,797,wisdom,8,Education/Knowledge,,
STATIM,798,798,immediately,8,Time,,
ACCIDO/1,799,799,fall, happen,8,Motion,
DECERNO,800,800,"determine, decide",8,Education/Knowledge,,
OCCIDO/2,801,801,"kill, cut down",9,Violence,,
DESCENDO,802,802,"climb down, descend",9,Travel,,
HIEMS,803,803,winter,9,Lengths of Time,,
CONTINEO,804,804,"contain, restrain",9,Verbs of Compelling/Directing,,
DEFERO,805,805,"carry away, report",9,Verbs of Transport,,
OPORTET,806,806,"it is proper, right (+ acc. + infin.)",9,Social Life,,
TRIBVNVS,807,807,"tribune, title of various Roman officials, as mīlitum, plēbis, aerāriī",9,The City,,
BOS,808,808,ox, gen. pl. boum,9,Animals/Plants,
IRASCOR,809,809,grow angry, īrātus -a -um: angry,9,Emotions,
AEGER/2,810,810,sick,9,Life and Being,,
FORVM/1,811,811,"market-place, forum",9,The City,,
OFFERO,812,812,"present, offer, expose",9,Verbs of Transport,,
REVOCO,813,813,"call back, recall",9,Social Life,,
CINGO,814,814,"encircle, surround, gird",9,War and Peace,,
INTEGER,815,815,"untouched, fresh, complete, whole",9,Personality Traits/Characteristics,,
VALIDVS,816,816,strong,9,Personality Traits/Characteristics,,
ALO,817,817,nourish,9,Life and Being,,
FLOS,818,818,"flower, bloom",9,Animals/Plants,,
ICTVS,819,819,"blow, stroke",9,Violence,,
COLLIGO/3,820,820,"gather together, collect",9,Verbs of Compelling/Directing,,
PERGO,821,821,"continue, proceed; awaken",9,Motion,,
PRAESENS,822,822,"present, in person, ready",9,Place,,
RECTVS,823,823,"straight, direct",9,Measurement,,
LATVS/1,824,824,"broad, wide",9,Measurement,,
PRAECEPTVM,825,825,"rule, precept; command",9,Justice,,
RECEDO/1,826,826,"step back, recoil, recede, withdraw",9,Motion,,
VTRVM,827,827,whether, utrum ... an: whether ... or,9,Conjunctions/Adverbs,
FAMES,828,828,"hunger, famine",9,Life and Being,,
PARIO/2,829,829,"bring forth, give birth to; accomplish",9,Life and Being,,
APPAREO,830,830,"appear, become visible",9,Vision,,
QVOMODO/1,831,831,"in what way, how?",9,Pronouns/Interrogatives,,
ERROR,832,832,"wandering; error, mistake",9,Travel,,
FORSITAN,833,833,"perhaps, perchance",9,Conjunctions/Adverbs,,
CONVERTO,834,834,"turn about, turn, change",9,Motion,,
PROFICISCOR,835,835,"set forth, go",9,Travel,,
SECVNDVS/1,836,836,following, favorable, (as numeral) second,9,Measurement
APERIO,837,837,open,9,The House,,
CASTVS/2,838,838,"pure, spotless, chaste",9,Personality Traits/Characteristics,,
IVDEX,839,839,"judge, juror",9,Justice,,
LAPIS,840,840,stone,9,Earth and Water,,
NIMIS,841,841,excessively,9,Personality Traits/Characteristics,,
ONVS,842,842,"load, burden",9,Measurement,,
OPERA,843,843,"labor, activity, work",9,Business/Money,,
PAVPER,844,844,"poor, lowly",9,Business/Money,,
AER,845,845,air,9,Air and Fire,,
NEGOTIVM,846,846,business,9,Business/Money,,
PAREO,847,847,obey,9,Verbs of Compelling/Directing,,
SVBITO,848,848,"suddenly, unexpectedly",9,Time,,
ARGENTVM,849,849,"silver, money",9,Business/Money,,
VTILIS,850,850,useful,9,Making/Doing,,
AETHER,851,851,"pure upper air, ether, heaven, sky",9,Air and Fire,,
MEREO,852,852,"deserve, merit; serve as a soldier",9,Business/Money,,
PORTO,853,853,carry a load,9,Measurement,,
PROPRIVS,854,854,"one’s own, peculiar",9,Pronouns/Interrogatives,,
AVIS,855,855,bird,9,Animals/Plants,,
VANVS,856,856,"empty; false, deceitful",9,Deception,,
MATERIA,857,857,"material, subject matter; timber, lumber",9,Speech/Oratory,,
PAVCI,858,858,"few, a few",9,Measurement,,
VOLVNTAS,859,859,"wish, desire",9,Emotions,,
EGREGIVS,860,860,"distinguished, uncommon",9,Personality Traits/Characteristics,,
DIFFICILIS,861,861,"not easy, hard, difficult",9,Personality Traits/Characteristics,,
GLADIVS,862,862,sword,9,War and Peace,,
CIBVS,863,863,food,9,Life and Being,,
CERTO/1,864,864,"decide by contest; fight, compete, vie",9,Athletics,,
INITIVM,865,865,beginning,9,Time,,
PERTINEO,866,866,"extend over, reach; refer to, pertain to, be the business of",9,Education/Knowledge,,
QVATVOR,867,867,four,9,Measurement,,
TVRBO/2,868,868,"disturb, confuse",9,Speech/Oratory,,
CONSVMO,869,869,"to use up, consume",9,Life and Being,,
CORRVMPO,870,870,"break up, destroy, ruin",9,Violence,,
INCIDO/1,871,871,"fall upon, fall into; happen",9,Motion,,
PAVLO,872,872,"to only a small extent, slightly, a little",9,Measurement,,
HOSPES,873,873,"guest, guest-friend; stranger; host",9,Social Life,,
RIDEO,874,874,"laugh, laugh at",9,Emotions,,
AEVVM,875,875,"eternity; lifetime, age",9,Lengths of Time,,
AVDAX,876,876,"bold, daring; reckless",9,Personality Traits/Characteristics,,
POSTERVS,877,877,"next, later",9,Time,,
PRAETOR,878,878,"praetor, one of the chief Roman magistrates",9,The City,,
RVS,879,879,country,9,Geography,,
DIFFERO,880,880,"scatter; publish, divulge; differ; defer, postpone",9,Making/Doing,,
VITO,881,881,"avoid, shun",9,Social Life,,
PRIVATVS,882,882,"personal, private",9,Social Life,,
SERVIO,883,883,"be a slave, serve (+ dat.)",9,The Household,,
VEREOR,884,884,"fear, stand in awe of",9,Emotions,,
INGREDIOR,885,885,"step in, enter",9,Motion,,
ADDVCO,886,886,"lead to, induce",9,Verbs of Compelling/Directing,,
HORTOR,887,887,"urge strongly, advise, exhort",9,Speech/Oratory,,
REVS,888,888,defendant,9,Justice,,
SCILICET,889,889,"certainly, of course",9,Conjunctions/Adverbs,,
COMPARO/2,890,890,"get ready, provide; compare",9,Business/Money,,
PERPETVVS,891,891,"unbroken, perpetual",9,Lengths of Time,,
DESIDERO,892,892,"long for, desire greatly",9,Love,,
CELEBRO,893,893,"frequent, throng, crowd",9,The City,,
CONFICIO,894,894,"complete, accomplish; destroy, kill, consume",9,Violence,,
INTENDO,895,895,"stretch out, strain",9,Motion,,
IVRO,896,896,"take an oath, swear; iūs iūrandum, oath",9,Justice,,
SOLVM/2,897,897,"only, merely",9,Measurement,,
AVCTORITAS,898,898,"influence, clout, authority",9,Social Life,,
IACIO,899,899,"throw, hurl",9,Athletics,,
LABORO,900,900,"toil, work; be in trouble or distress",9,Business/Money,,
LIBER/1,901,901,book,10,Writing/Poetry,,
LVNA,902,902,moon,10,Air and Fire,,
PROTINVS,903,903,"at once, forthwith",10,Time,,
AEQVE,904,904,equally,10,Justice,,
CONOR,905,905,"try, attempt",10,Making/Doing,,
CVPIDO,906,906,"desire, eagerness, craving",10,Love,,
FERE,907,907,almost,10,Conjunctions/Adverbs,,
INSVLA,908,908,island,10,Geography,,
FILIA,909,909,daughter, son,10,The Household,
FILIVS,909,909,daughter, son,10,The Household,
NARRO,910,910,"relate, recount",10,Speech/Oratory,,
NECESSITAS,911,911,"necessity, need",10,Business/Money,,
EGREDIOR,912,912,"stride out, depart, disembark from (+ abl.)",10,Travel,,
POETA,913,913,poet,10,Writing/Poetry,,
DECEM,914,914,ten,10,Measurement,,
AMPLVS,915,915,"large, spacious",10,Measurement,,
APTVS,916,916,"fit, suitable",10,Personality Traits/Characteristics,,
CONSEQVOR,917,917,"follow up, overtake, attain",10,Motion,,
FREQVENS,918,918,"in large numbers, often",10,Measurement,,
NVNTIVS/1,919,919,messenger, news,10,Travel,
CONDICIO,920,920,"agreement, condition",10,Business/Money,,
CONVIVIVM,921,921,"banquet, feast",10,Social Life,,
FOEDVS/2,922,922,foul,10,Other Senses,,
FRVOR,923,923,"enjoy the produce of, profit by, use (+ abl.)",10,Emotions,,
NVM,924,924,interrogative particle implying negative answer,10,Pronouns/Interrogatives,,
ALBVS,925,925,white,10,Vision,,
DAMNVM,926,926,"damage, injury",10,Violence,,
FRVCTVS,927,927,"fruit, crops; enjoyment, delight",10,Animals/Plants,,
CENSEO,928,928,"assess, rate; think, decide",10,Education/Knowledge,,
PRODO,929,929,"publish, hand down; give over, betray",10,Verbs of Transport,,
PROPONO,930,930,"put forth, propose, present",10,Speech/Oratory,,
INSTITVO,931,931,undertake, equip,10,Making/Doing,
ITEM,932,932,likewise,10,Conjunctions/Adverbs,,
MAGISTER,933,933,"master, chief",10,Education/Knowledge,,
STELLA,934,934,star,10,Air and Fire,,
EDVCO/2,935,935,lead forth,10,Verbs of Compelling/Directing,,
FRVMENTVM,936,936,grain,10,Animals/Plants,,
